"metric","time_period","end_timestamp","value","created_date"
"website_clicks","day","2021-08-21 07:00:00+00",0,"2021-08-22 12:00:42.019973+00"
"impressions","day","2021-08-22 07:00:00+00",148,"2021-08-23 12:00:42.21346+00"
"profile_views","day","2021-08-22 07:00:00+00",41,"2021-08-23 12:00:42.21346+00"
"reach","day","2021-08-22 07:00:00+00",74,"2021-08-23 12:00:42.21346+00"
"website_clicks","day","2021-08-22 07:00:00+00",0,"2021-08-23 12:00:42.21346+00"
"impressions","day","2021-08-23 07:00:00+00",1021,"2021-08-24 12:00:48.85383+00"
"profile_views","day","2021-08-23 07:00:00+00",35,"2021-08-24 12:00:48.85383+00"
"reach","day","2021-08-23 07:00:00+00",1008,"2021-08-24 12:00:48.85383+00"
"website_clicks","day","2021-08-23 07:00:00+00",0,"2021-08-24 12:00:48.85383+00"
"impressions","day","2021-08-24 07:00:00+00",768,"2021-08-25 12:00:43.122774+00"
"profile_views","day","2021-08-24 07:00:00+00",55,"2021-08-25 12:00:43.122774+00"
"reach","day","2021-08-24 07:00:00+00",212,"2021-08-25 12:00:43.122774+00"
"website_clicks","day","2021-08-24 07:00:00+00",0,"2021-08-25 12:00:43.122774+00"
"impressions","day","2021-08-25 07:00:00+00",372,"2021-08-26 12:00:42.101217+00"
"profile_views","day","2021-08-25 07:00:00+00",47,"2021-08-26 12:00:42.101217+00"
"reach","day","2021-08-25 07:00:00+00",154,"2021-08-26 12:00:42.101217+00"
"website_clicks","day","2021-08-25 07:00:00+00",0,"2021-08-26 12:00:42.101217+00"
"impressions","day","2021-08-26 07:00:00+00",227,"2021-08-27 12:00:39.277224+00"
"profile_views","day","2021-08-26 07:00:00+00",36,"2021-08-27 12:00:39.277224+00"
"reach","day","2021-08-26 07:00:00+00",120,"2021-08-27 12:00:39.277224+00"
"website_clicks","day","2021-08-26 07:00:00+00",1,"2021-08-27 12:00:39.277224+00"
"impressions","day","2021-08-27 07:00:00+00",666,"2021-08-28 12:00:38.461009+00"
"profile_views","day","2021-08-27 07:00:00+00",30,"2021-08-28 12:00:38.461009+00"
"reach","day","2021-08-27 07:00:00+00",233,"2021-08-28 12:00:38.461009+00"
"website_clicks","day","2021-08-27 07:00:00+00",0,"2021-08-28 12:00:38.461009+00"
"impressions","day","2021-08-28 07:00:00+00",405,"2021-08-29 12:00:40.36999+00"
"profile_views","day","2021-08-28 07:00:00+00",27,"2021-08-29 12:00:40.36999+00"
"reach","day","2021-08-28 07:00:00+00",197,"2021-08-29 12:00:40.36999+00"
"website_clicks","day","2021-08-28 07:00:00+00",0,"2021-08-29 12:00:40.36999+00"
"impressions","day","2021-08-29 07:00:00+00",2574,"2021-08-30 12:00:56.911885+00"
"profile_views","day","2021-08-29 07:00:00+00",30,"2021-08-30 12:00:56.911885+00"
"reach","day","2021-08-29 07:00:00+00",2480,"2021-08-30 12:00:56.911885+00"
"website_clicks","day","2021-08-29 07:00:00+00",0,"2021-08-30 12:00:56.911885+00"
"impressions","day","2021-08-30 07:00:00+00",477,"2021-08-31 12:00:54.747141+00"
"profile_views","day","2021-08-30 07:00:00+00",29,"2021-08-31 12:00:54.747141+00"
"reach","day","2021-08-30 07:00:00+00",221,"2021-08-31 12:00:54.747141+00"
"website_clicks","day","2021-08-30 07:00:00+00",4,"2021-08-31 12:00:54.747141+00"
"impressions","day","2021-08-31 07:00:00+00",134,"2021-09-01 12:00:57.619495+00"
"profile_views","day","2021-08-31 07:00:00+00",30,"2021-09-01 12:00:57.619495+00"
"reach","day","2021-08-31 07:00:00+00",77,"2021-09-01 12:00:57.619495+00"
"website_clicks","day","2021-08-31 07:00:00+00",0,"2021-09-01 12:00:57.619495+00"
"impressions","day","2021-09-02 07:00:00+00",5181,"2021-09-03 12:00:40.308034+00"
"profile_views","day","2021-09-02 07:00:00+00",39,"2021-09-03 12:00:40.308034+00"
"reach","day","2021-09-02 07:00:00+00",5085,"2021-09-03 12:00:40.308034+00"
"website_clicks","day","2021-09-02 07:00:00+00",3,"2021-09-03 12:00:40.308034+00"
"impressions","day","2021-09-03 07:00:00+00",522,"2021-09-04 12:00:45.640158+00"
"profile_views","day","2021-09-03 07:00:00+00",32,"2021-09-04 12:00:45.640158+00"
"reach","day","2021-09-03 07:00:00+00",299,"2021-09-04 12:00:45.640158+00"
"website_clicks","day","2021-09-03 07:00:00+00",0,"2021-09-04 12:00:45.640158+00"
"impressions","day","2021-09-04 07:00:00+00",434,"2021-09-05 12:00:43.57191+00"
