"gender","age_range","follower_count","created_date","time_period","end_timestamp"
"F","45-54",9,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"F","55-64",7,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"F","65+",1,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","13-17",2,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","18-24",19,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","25-34",70,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","35-44",29,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","45-54",10,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","55-64",5,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"M","65+",1,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","13-17",3,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","18-24",33,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","25-34",73,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","35-44",20,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","45-54",6,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"U","55-64",2,"2021-08-08 12:00:58.520001+00","lifetime","2021-08-07 07:00:00+00"
"F","18-24",21,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","25-34",117,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","35-44",40,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","45-54",9,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","55-64",7,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","65+",1,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","13-17",2,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","18-24",19,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","25-34",70,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","35-44",29,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","45-54",10,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","55-64",5,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"M","65+",1,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","13-17",3,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","18-24",33,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","25-34",73,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","35-44",20,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","45-54",6,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"U","55-64",2,"2021-08-09 12:00:54.912101+00","lifetime","2021-08-08 07:00:00+00"
"F","18-24",21,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"F","25-34",117,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"F","35-44",39,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"F","45-54",9,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"F","55-64",7,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"F","65+",1,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","13-17",2,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","18-24",19,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","25-34",68,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","35-44",28,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","45-54",10,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","55-64",5,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"M","65+",1,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"U","13-17",3,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"U","18-24",36,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"U","25-34",76,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
"U","35-44",20,"2021-08-10 12:01:02.447868+00","lifetime","2021-08-09 07:00:00+00"
