user_account,followers_count,follows_count,media_count,created_date,followers_count_group,,,
 comp 10,11417,4232,378,2021-10-01 15:00:39.998477+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 15:00:39.998477+00,1k-5k,,,
 comp 15,9067,6871,976,2021-10-01 15:00:39.998477+00,5k-10k,,,
 comp 17,17007,856,264,2021-10-01 15:00:39.998477+00,Over 10k,,,
 comp 10,11415,4234,378,2021-10-01 05:00:37.872908+00,Over 10k,,,
 comp 18,6049,1746,674,2021-10-01 15:00:39.998477+00,5k-10k,,,
 comp 14,3486,822,90,2021-10-01 05:00:37.872908+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 05:00:37.872908+00,5k-10k,,,
 comp 17,16946,853,264,2021-10-01 05:00:37.872908+00,Over 10k,,,
 comp 18,6044,1744,672,2021-10-01 05:00:37.872908+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-29 21:00:37.003645+00,Under 1k,,,
 comp 2,1104,890,25,2021-09-29 21:00:37.003645+00,1k-5k,,,
 comp 3,860,428,100,2021-09-29 21:00:37.003645+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-29 21:00:37.003645+00,Over 10k,,,
 comp 14,3482,820,90,2021-09-29 21:00:37.003645+00,1k-5k,,,
 comp 15,9071,6861,976,2021-09-29 21:00:37.003645+00,5k-10k,,,
 comp 17,16705,854,263,2021-09-29 21:00:37.003645+00,Over 10k,,,
 comp 18,6042,1740,671,2021-09-29 21:00:37.003645+00,5k-10k,,,
nomadpursuit,962,423,72,2021-09-30 22:00:35.397315+00,Under 1k,,,
 comp 2,1148,897,25,2021-09-30 22:00:35.397315+00,1k-5k,,,
 comp 3,859,430,102,2021-09-30 22:00:35.397315+00,Under 1k,,,
 comp 10,11417,4234,378,2021-09-30 22:00:35.397315+00,Over 10k,,,
 comp 14,3485,822,90,2021-09-30 22:00:35.397315+00,1k-5k,,,
 comp 15,9071,6867,976,2021-09-30 22:00:35.397315+00,5k-10k,,,
 comp 17,16888,853,264,2021-09-30 22:00:35.397315+00,Over 10k,,,
 comp 18,6042,1743,672,2021-09-30 22:00:35.397315+00,5k-10k,,,
nomadpursuit,962,422,73,2021-10-01 06:00:37.619991+00,Under 1k,,,
 comp 2,1153,903,25,2021-10-01 06:00:37.619991+00,1k-5k,,,
 comp 3,863,431,102,2021-10-01 06:00:37.619991+00,Under 1k,,,
 comp 10,11416,4234,378,2021-10-01 06:00:37.619991+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 06:00:37.619991+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 06:00:37.619991+00,5k-10k,,,
 comp 17,16952,853,264,2021-10-01 06:00:37.619991+00,Over 10k,,,
 comp 18,6044,1744,673,2021-10-01 06:00:37.619991+00,5k-10k,,,
nomadpursuit,962,418,72,2021-09-29 22:00:36.49921+00,Under 1k,,,
 comp 2,1105,890,25,2021-09-29 22:00:36.49921+00,1k-5k,,,
 comp 3,860,428,100,2021-09-29 22:00:36.49921+00,Under 1k,,,
 comp 10,11420,4232,377,2021-09-29 22:00:36.49921+00,Over 10k,,,
 comp 14,3480,820,90,2021-09-29 22:00:36.49921+00,1k-5k,,,
 comp 15,9072,6866,976,2021-09-29 22:00:36.49921+00,5k-10k,,,
 comp 17,16716,854,263,2021-09-29 22:00:36.49921+00,Over 10k,,,
 comp 18,6040,1740,671,2021-09-29 22:00:36.49921+00,5k-10k,,,
nomadpursuit,962,425,73,2021-10-01 16:00:39.73867+00,Under 1k,,,
 comp 2,1163,904,25,2021-10-01 16:00:39.73867+00,1k-5k,,,
nomadpursuit,962,422,72,2021-09-30 23:00:35.965228+00,Under 1k,,,
 comp 3,864,431,102,2021-10-01 16:00:39.73867+00,Under 1k,,,
 comp 2,1145,892,25,2021-09-30 23:00:35.965228+00,1k-5k,,,
 comp 3,861,430,102,2021-09-30 23:00:35.965228+00,Under 1k,,,
 comp 10,11417,4233,378,2021-10-01 16:00:39.73867+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 16:00:39.73867+00,1k-5k,,,
 comp 15,9067,6870,976,2021-10-01 16:00:39.73867+00,5k-10k,,,
 comp 17,17015,856,264,2021-10-01 16:00:39.73867+00,Over 10k,,,
 comp 18,6049,1746,674,2021-10-01 16:00:39.73867+00,5k-10k,,,
 comp 10,11413,4234,378,2021-09-30 23:00:35.965228+00,Over 10k,,,
 comp 14,3487,822,90,2021-09-30 23:00:35.965228+00,1k-5k,,,
 comp 15,9068,6867,976,2021-09-30 23:00:35.965228+00,5k-10k,,,
 comp 17,16907,853,264,2021-09-30 23:00:35.965228+00,Over 10k,,,
 comp 18,6042,1744,672,2021-09-30 23:00:35.965228+00,5k-10k,,,
nomadpursuit,963,422,73,2021-10-01 07:00:41.37729+00,Under 1k,,,
 comp 2,1153,840,25,2021-10-01 07:00:41.37729+00,1k-5k,,,
 comp 3,863,431,102,2021-10-01 07:00:41.37729+00,Under 1k,,,
 comp 10,11416,4233,378,2021-10-01 07:00:41.37729+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 07:00:41.37729+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 07:00:41.37729+00,5k-10k,,,
 comp 17,16955,853,264,2021-10-01 07:00:41.37729+00,Over 10k,,,
 comp 18,6045,1744,673,2021-10-01 07:00:41.37729+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-29 23:00:36.429698+00,Under 1k,,,
 comp 2,1108,914,25,2021-09-29 23:00:36.429698+00,1k-5k,,,
 comp 3,860,428,100,2021-09-29 23:00:36.429698+00,Under 1k,,,
 comp 10,11422,4232,377,2021-09-29 23:00:36.429698+00,Over 10k,,,
 comp 14,3480,820,90,2021-09-29 23:00:36.429698+00,1k-5k,,,
 comp 15,9077,6862,976,2021-09-29 23:00:36.429698+00,5k-10k,,,
 comp 17,16728,854,263,2021-09-29 23:00:36.429698+00,Over 10k,,,
 comp 18,6040,1740,671,2021-09-29 23:00:36.429698+00,5k-10k,,,
nomadpursuit,963,422,73,2021-10-01 08:01:04.265386+00,Under 1k,,,
 comp 2,1156,891,25,2021-10-01 08:01:04.265386+00,1k-5k,,,
 comp 3,864,431,102,2021-10-01 08:01:04.265386+00,Under 1k,,,
 comp 10,11418,4233,378,2021-10-01 08:01:04.265386+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 08:01:04.265386+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 08:01:04.265386+00,5k-10k,,,
 comp 17,16953,853,264,2021-10-01 08:01:04.265386+00,Over 10k,,,
 comp 18,6048,1744,673,2021-10-01 08:01:04.265386+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-30 00:00:37.82677+00,Under 1k,,,
 comp 2,1109,914,25,2021-09-30 00:00:37.82677+00,1k-5k,,,
 comp 3,860,428,100,2021-09-30 00:00:37.82677+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-30 00:00:37.82677+00,Over 10k,,,
nomadpursuit,962,425,73,2021-10-01 17:00:59.065658+00,Under 1k,,,
 comp 2,1164,905,25,2021-10-01 17:00:59.065658+00,1k-5k,,,
 comp 14,3480,820,90,2021-09-30 00:00:37.82677+00,1k-5k,,,
 comp 15,9077,6862,976,2021-09-30 00:00:37.82677+00,5k-10k,,,
 comp 3,863,431,102,2021-10-01 17:00:59.065658+00,Under 1k,,,
 comp 17,16741,854,263,2021-09-30 00:00:37.82677+00,Over 10k,,,
 comp 18,6040,1740,671,2021-09-30 00:00:37.82677+00,5k-10k,,,
 comp 10,11417,4235,378,2021-10-01 17:00:59.065658+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 17:00:59.065658+00,1k-5k,,,
nomadpursuit,963,422,73,2021-10-01 09:00:37.99874+00,Under 1k,,,
 comp 15,9069,6875,977,2021-10-01 17:00:59.065658+00,5k-10k,,,
 comp 2,1156,893,25,2021-10-01 09:00:37.99874+00,1k-5k,,,
 comp 3,864,431,102,2021-10-01 09:00:37.99874+00,Under 1k,,,
 comp 17,17034,856,264,2021-10-01 17:00:59.065658+00,Over 10k,,,
 comp 18,6049,1746,674,2021-10-01 17:00:59.065658+00,5k-10k,,,
 comp 10,11419,4233,378,2021-10-01 09:00:37.99874+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 09:00:37.99874+00,1k-5k,,,
 comp 15,9069,6871,976,2021-10-01 09:00:37.99874+00,5k-10k,,,
 comp 17,16960,855,264,2021-10-01 09:00:37.99874+00,Over 10k,,,
 comp 18,6049,1745,673,2021-10-01 09:00:37.99874+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-30 01:00:37.850557+00,Under 1k,,,
 comp 2,1110,914,25,2021-09-30 01:00:37.850557+00,1k-5k,,,
 comp 3,860,428,100,2021-09-30 01:00:37.850557+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-30 01:00:37.850557+00,Over 10k,,,
 comp 14,3480,820,90,2021-09-30 01:00:37.850557+00,1k-5k,,,
 comp 15,9078,6866,976,2021-09-30 01:00:37.850557+00,5k-10k,,,
 comp 17,16744,854,263,2021-09-30 01:00:37.850557+00,Over 10k,,,
 comp 18,6041,1740,671,2021-09-30 01:00:37.850557+00,5k-10k,,,
nomadpursuit,963,423,73,2021-10-01 10:00:37.8224+00,Under 1k,,,
 comp 2,1156,894,25,2021-10-01 10:00:37.8224+00,1k-5k,,,
 comp 3,865,431,102,2021-10-01 10:00:37.8224+00,Under 1k,,,
 comp 10,11418,4233,378,2021-10-01 10:00:37.8224+00,Over 10k,,,
 comp 14,3488,822,90,2021-10-01 10:00:37.8224+00,1k-5k,,,
 comp 15,9068,6871,976,2021-10-01 10:00:37.8224+00,5k-10k,,,
 comp 17,16962,855,264,2021-10-01 10:00:37.8224+00,Over 10k,,,
 comp 18,6049,1745,673,2021-10-01 10:00:37.8224+00,5k-10k,,,
nomadpursuit,961,418,72,2021-09-30 02:00:37.806785+00,Under 1k,,,
 comp 2,1111,914,25,2021-09-30 02:00:37.806785+00,1k-5k,,,
 comp 3,859,428,100,2021-09-30 02:00:37.806785+00,Under 1k,,,
 comp 10,11421,4232,377,2021-09-30 02:00:37.806785+00,Over 10k,,,
 comp 14,3480,820,90,2021-09-30 02:00:37.806785+00,1k-5k,,,
 comp 15,9077,6865,976,2021-09-30 02:00:37.806785+00,5k-10k,,,
 comp 17,16750,854,263,2021-09-30 02:00:37.806785+00,Over 10k,,,
 comp 18,6041,1740,671,2021-09-30 02:00:37.806785+00,5k-10k,,,
nomadpursuit,960,418,72,2021-09-30 03:00:37.562946+00,Under 1k,,,
 comp 2,1113,915,25,2021-09-30 03:00:37.562946+00,1k-5k,,,
 comp 3,859,428,100,2021-09-30 03:00:37.562946+00,Under 1k,,,
nomadpursuit,962,425,73,2021-10-01 18:00:40.59503+00,Under 1k,,,
 comp 2,1164,908,25,2021-10-01 18:00:40.59503+00,1k-5k,,,
