media_id,engagement,impressions,reach,saved,time_period,created_date
1.79129E+16,184,466,431,2,lifetime,2021-10-01 16:00:57.966266+00
1.79735E+16,166,486,411,3,lifetime,2021-10-01 16:00:57.966266+00
1.79003E+16,151,565,518,2,lifetime,2021-10-01 16:00:57.966266+00
1.79809E+16,248,1673,1586,6,lifetime,2021-10-01 16:00:57.966266+00
1.7911E+16,227,637,499,9,lifetime,2021-10-01 16:00:57.966266+00
1.79208E+16,239,1275,1264,6,lifetime,2021-10-01 16:00:57.966266+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 16:00:57.966266+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 16:00:57.966266+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 16:00:57.966266+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 16:00:57.966266+00
1.79129E+16,152,397,377,2,lifetime,2021-09-29 22:00:51.118516+00
1.79735E+16,159,419,356,3,lifetime,2021-09-29 22:00:51.118516+00
1.79003E+16,146,548,507,2,lifetime,2021-09-29 22:00:51.118516+00
1.79809E+16,247,1656,1573,6,lifetime,2021-09-29 22:00:51.118516+00
1.7911E+16,226,609,475,9,lifetime,2021-09-29 22:00:51.118516+00
1.79208E+16,238,1260,1243,6,lifetime,2021-09-29 22:00:51.118516+00
1.8175E+16,257,810,704,3,lifetime,2021-09-29 22:00:51.118516+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 22:00:51.118516+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 22:00:51.118516+00
1.79129E+16,155,397,377,2,lifetime,2021-09-29 23:00:51.813974+00
1.79735E+16,159,419,356,3,lifetime,2021-09-29 23:00:51.813974+00
1.79003E+16,146,548,507,2,lifetime,2021-09-29 23:00:51.813974+00
1.79809E+16,247,1656,1573,6,lifetime,2021-09-29 23:00:51.813974+00
1.7911E+16,226,609,475,9,lifetime,2021-09-29 23:00:51.813974+00
1.79208E+16,238,1260,1243,6,lifetime,2021-09-29 23:00:51.813974+00
1.8175E+16,257,810,704,3,lifetime,2021-09-29 23:00:51.813974+00
1.81905E+16,169,413,334,3,lifetime,2021-09-29 23:00:51.813974+00
1.79236E+16,248,734,631,4,lifetime,2021-09-29 23:00:51.813974+00
1.79129E+16,184,468,433,2,lifetime,2021-10-01 17:01:33.55109+00
1.79735E+16,166,487,411,3,lifetime,2021-10-01 17:01:33.55109+00
1.79003E+16,151,565,518,2,lifetime,2021-10-01 17:01:33.55109+00
1.79809E+16,248,1673,1586,6,lifetime,2021-10-01 17:01:33.55109+00
1.7911E+16,227,637,499,9,lifetime,2021-10-01 17:01:33.55109+00
1.79208E+16,239,1276,1264,6,lifetime,2021-10-01 17:01:33.55109+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 17:01:33.55109+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 17:01:33.55109+00
1.79129E+16,164,425,400,2,lifetime,2021-09-30 06:00:50.370631+00
1.79735E+16,161,442,377,3,lifetime,2021-09-30 06:00:50.370631+00
1.79003E+16,146,549,508,2,lifetime,2021-09-30 06:00:50.370631+00
1.79809E+16,247,1659,1575,6,lifetime,2021-09-30 06:00:50.370631+00
1.7911E+16,226,614,480,9,lifetime,2021-09-30 06:00:50.370631+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 06:00:50.370631+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 06:00:50.370631+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 06:00:50.370631+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 06:00:50.370631+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 17:01:33.55109+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 17:01:33.55109+00
1.79129E+16,156,397,377,2,lifetime,2021-09-30 00:00:54.405095+00
1.79735E+16,159,419,356,3,lifetime,2021-09-30 00:00:54.405095+00
1.79003E+16,146,548,507,2,lifetime,2021-09-30 00:00:54.405095+00
1.79809E+16,247,1656,1573,6,lifetime,2021-09-30 00:00:54.405095+00
1.7911E+16,226,609,475,9,lifetime,2021-09-30 00:00:54.405095+00
1.79208E+16,238,1260,1243,6,lifetime,2021-09-30 00:00:54.405095+00
1.8175E+16,257,810,704,3,lifetime,2021-09-30 00:00:54.405095+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 00:00:54.405095+00
1.79236E+16,248,734,631,4,lifetime,2021-09-30 00:00:54.405095+00
1.79129E+16,184,468,433,2,lifetime,2021-10-01 18:00:57.54853+00
1.79129E+16,159,403,381,2,lifetime,2021-09-30 01:00:51.408077+00
1.79735E+16,160,419,356,3,lifetime,2021-09-30 01:00:51.408077+00
1.79003E+16,146,548,507,2,lifetime,2021-09-30 01:00:51.408077+00
1.79809E+16,247,1656,1573,6,lifetime,2021-09-30 01:00:51.408077+00
1.7911E+16,226,609,475,9,lifetime,2021-09-30 01:00:51.408077+00
1.79208E+16,238,1260,1243,6,lifetime,2021-09-30 01:00:51.408077+00
1.8175E+16,257,810,704,3,lifetime,2021-09-30 01:00:51.408077+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 01:00:51.408077+00
1.79236E+16,248,734,631,4,lifetime,2021-09-30 01:00:51.408077+00
1.79735E+16,166,487,411,3,lifetime,2021-10-01 18:00:57.54853+00
1.79003E+16,151,565,518,2,lifetime,2021-10-01 18:00:57.54853+00
1.79809E+16,248,1673,1586,6,lifetime,2021-10-01 18:00:57.54853+00
1.7911E+16,227,637,499,9,lifetime,2021-10-01 18:00:57.54853+00
1.79208E+16,239,1276,1264,6,lifetime,2021-10-01 18:00:57.54853+00
1.8175E+16,257,816,711,3,lifetime,2021-10-01 18:00:57.54853+00
1.81905E+16,169,415,334,3,lifetime,2021-10-01 18:00:57.54853+00
1.79236E+16,248,735,632,4,lifetime,2021-10-01 18:00:57.54853+00
1.82488E+16,180,647,588,3,lifetime,2021-10-01 18:00:57.54853+00
1.79129E+16,164,425,400,2,lifetime,2021-09-30 07:00:53.026043+00
1.79735E+16,161,443,378,3,lifetime,2021-09-30 07:00:53.026043+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 07:00:53.026043+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 07:00:53.026043+00
1.7911E+16,226,615,481,9,lifetime,2021-09-30 07:00:53.026043+00
1.79208E+16,238,1263,1249,6,lifetime,2021-09-30 07:00:53.026043+00
1.8175E+16,257,813,709,3,lifetime,2021-09-30 07:00:53.026043+00
1.81905E+16,169,413,334,3,lifetime,2021-09-30 07:00:53.026043+00
1.79236E+16,248,735,632,4,lifetime,2021-09-30 07:00:53.026043+00
1.79129E+16,166,426,401,2,lifetime,2021-09-30 08:01:01.91006+00
1.79735E+16,161,445,380,3,lifetime,2021-09-30 08:01:01.91006+00
1.79003E+16,146,550,508,2,lifetime,2021-09-30 08:01:01.91006+00
1.79809E+16,247,1660,1575,6,lifetime,2021-09-30 08:01:01.91006+00
